Nom du lieu;Nom du porteur;Adresse mail;Type de porteur;Détail du type de porteur;Adresse;Code postal;Commune;Code INSEE;Numéro de téléphone;Site web;Descriptif;Logo;Photo;Public;Accès;Restrictions d'usage;Tarif(s);Horaires du lundi;Horaires du mardi;Horaires du mercredi;Horaires du jeudi;Horaires du vendredi;Horaires du samedi;Horaires du dimanche;Complément sur les horaires;Ordinateur(s);Tablette(s);Scanner(s);Imprimante(s);Borne(s) CAF;Connexion Wi-Fi;Complément sur les équipements;Formation;Accompagnement individuel;Fourniture d'équipement;Complément sur les services;Compte InfoLocale;Localisation;Clé;Date de saisie;Date d'enregistrement;Date de modification;Services;Équipements;Ordinateur(s) libellé;Tablette(s) libellé;Scanner(s) libellé;Imprimante(s) libellé;Borne(s) CAF libellé;Connexion Wi-Fi libellé;Formation libellé;Accompagnement individuel individuel libellé;Fourniture d'équipement libellé
Médiathèque de Grandchamp des fontaines;Médiathèque de Grandchamp des fontaines;mediatheque@grandchampdesfontaines.fr;Bibliothèque / Médiathèque;;rue des curettes;44119;Grandchamps-des-Fontaines;44066;0249623970;http://www.grandchampdesfontaines.fr/culture-sports-loisirs/culture/mediatheque-victor-hugo-2057.html;Espace documentaire et point d'accès numérique.;;;tout public;;;;16h-19h;fermé;13h-19h;fermé;16h-19h;10h-12h30 14h-17h;10h30-12h;;1;0;0;0;0;0;1 poste informatique.;0;0;0;;;47.365068, -1.620203;24X2-B32M;;;2019-11-02T15:28:53+01:00;;Ordinateur(s);Ordinateur(s);;;;;;;;
Médiathèque Lettres de mon Moulin;Médiathèque Lettres de mon Moulin;mediatheque@stmichelchefchef.fr;Bibliothèque / Médiathèque;;22 bis rue du Redois;44730;Saint-Michel-Chef-Chef;44182;0240278630;http://www.stmichelchefchef.fr/mediatheque;;;;tout public;;;gratuit / impression gratuite jusqu'à 5 documents;fermé;16h-18h30;10h-12h00 14h-18h30;16h-18h30;16h-19h;10h-12h 14h-18h;fermé;soutien informatique tous les jeudi et vendredi de 14h à 16h;1;0;0;0;0;0;connexion 1h par jour;0;1;0;soutien gratuit;;47.181036, -2.150452;TMDD-SRDF;2019-01-17T12:32:34+01:00;2019-01-17T12:32:34+01:00;2019-11-02T16:00:56+01:00;Accompagnement individuel;Ordinateur(s);Ordinateur(s);;;;;;;Accompagnement individuel;
Médiathèque Samuel Beckett;Centre culturel Athanor;mediatheque@ville-guerande.fr;Bibliothèque / Médiathèque;;2 avenue Anne de Bretagne;44350;Guérande;44069;0240247591;http://www.mediatheque.ville-guerande.fr;"Installée au cœur du centre culturel Athanor, la médiathèque est un service public municipal ouvert à tous.
La lecture des livres, journaux et magazines, l'écoute de CD, la pratique du jeu et du jouet, la consultation d'internet, le travail sur place y sont possibles librement et gratuitement.";41750_zone_125-125-238-238-243_.jpg;;tout public;ligne 1 La Baule - Guérande;;abonnement valable un an - moins de 18 ans : gratuit - adulte guérandais : 22€ (tarif réduit : 12€) - adulte non guérandais : 38€ (tarif réduit : 20€);fermé;15h-19h;10h-12h30 13h30-18h;15h-18h;15h-18h;10h-12h30 13h30-18h;fermé;En dehors de ces horaires, l'équipe de la médiathèque est joignable de 9h à 12h et à partir de 14h.;1;0;1;1;0;1;260 livres - 40 BD - 650 livres audio - 87 CD - 21 DVD -  0 jeux et jouets - 80 abonnements magazines - 4 liseuses;1;1;0;;https://infolocale.ouest-france.fr/guerande-44069/annuaire/mediatheque-municipale-samuel-beckett-centre-culturel-athanor_41750;47.330367, -2.424714;KB3B-B5TN;;;2019-11-02T15:41:46+01:00;Formation,Accompagnement individuel;Ordinateur(s),Scanner(s),Imprimante(s),Connexion Wi-Fi;Ordinateur(s);;Scanner(s);Imprimante(s);;Connexion Wi-Fi;Formation;Accompagnement individuel;
Mission locale de Gorges;Mission locale de Gorges;accompagnement16-25@mlvn.fr;Institution;;3 place Maurice Renoul;44190;Gorges;44064;0240360913;http://missionlocalevignoblenantais.fr/;Structure ouverte aux jeunes de 16 à 25 ans proposant un accompagnement pour l'emploi, la formation, le logement, la santé et la mobilité.;;;16-25 ans;;;gratuit / impression limitées, pas d'accès direct aux photocopieurs;9h-12h30 13h30-15h;9h-12h30 13h30-17h;9h-12h30 13h30-17h;9h-12h30 13h30-17h;9h-12h30 13h30-17h;fermé;fermé;Ateliers  les mardis après midi;1;0;1;1;0;1;;1;1;0;Création de CV et lettre de motivation, compte AMELIDemande de logement, APL, semaine de stage en entreprisesAides spécifiques, ateliers collectifs ou individuels;;47.101674, -1.303662;4UGL-9ZP2;;;2019-11-02T15:40:48+01:00;Formation,Accompagnement individuel;Ordinateur(s),Scanner(s),Imprimante(s),Connexion Wi-Fi;Ordinateur(s);;Scanner(s);Imprimante(s);;Connexion Wi-Fi;Formation;Accompagnement individuel;
Point Information Jeunesse de Sainte-Pazanne;Inseretz;pij@pornicagglo.fr;Association;;1 rue de bazouin;44680;Sainte-Pazanne;44186;0240026863;http://www.animationjeunesse.coeurpaysderetz.fr;;;;jeunes;;;gratuit;fermé;fermé;13h30-18h;13h30-18h;13h30-18h;fermé;fermé;;1;0;0;1;0;0;accès internet par cable;0;1;0;;;47.103883, -1.809835;JJ36-SWH5;;;2019-11-02T15:55:06+01:00;Accompagnement individuel;Ordinateur(s),Imprimante(s);Ordinateur(s);;;Imprimante(s);;;;Accompagnement individuel;
Pôle Emploi Clisson;Pôle Emploi;;Institution;;7 allée du Chantre;44190;Clisson;44043;3949;https://www.pole-emploi.fr/annuaire/clisson-44013;Agence Pôle Emploi du Vignoble;;;tout public;gare de Clisson;uniquement pour les recherches d'emploi;gratuit;8h30-12h30;8h30-12h30;8h30-12h30;8h30-12h30;8h30-12h30;fermé;fermé;Sur RDV les lundi, mardi, mercredi après midi de 12h30 à 16h30 et les vendredi après midi de 12h30 à 15h30;1;0;1;1;0;0;1 borne Pôle Emploi en extérieur, 7 postes informatiques dont 1 avec Internet ainsi que 7 scanners et imprimantes;1;1;0;Recherche d'offre d'emplois, création d'un espace personnel Pôle Emploi, aide rédaction de CV et lettre motivation;;47.096615, -1.284243;XJP8-DL27;2018-11-21T14:36:01+01:00;2018-11-21T14:36:01+01:00;2019-11-02T15:38:57+01:00;Formation,Accompagnement individuel;Ordinateur(s),Scanner(s),Imprimante(s);Ordinateur(s);;Scanner(s);Imprimante(s);;;Formation;Accompagnement individuel;
Blibliothèque Juigné-des-Moutiers;Blibliothèque Juigné-des-Moutiers;;Bibliothèque / Médiathèque;;15 chemins des écoliers;44670;Juigné-des-Moutiers;44078;02 28 04 09 34;http://www.cc-castelbriantais.fr/reseau-des-bibliotheques;Lieu de lecture et d'activités.;;;tout public;;;gratuit;14h-17h;fermé;14h-17h;fermé;fermé;11h-12h;;Fermé le premier mercredi du mois;1;0;0;0;0;0;;0;0;0;;;47.678699, -1.188885;EMGV-7GZU;2018-05-31T12:33:08+02:00;2018-05-31T12:37:43+02:00;2019-11-02T15:42:33+01:00;;Ordinateur(s);Ordinateur(s);;;;;;;;
bibliotheque de la grigonnais;bibliotheque de la grigonnais;biblio.lagrigonnais@orange.fr;Bibliothèque / Médiathèque;;5 rue de l’Abbé Mérel;44170;La Grigonnais;44224;02 40 87 52 07;https://www.lagrigonnais.fr/Bibliotheque-de-la-Grigonnais-Le;;;;tout public;arrêt: la Grigonnais- l'océan ligne 44;non;inscription pour l’emprunt de livre ou document :10€pour une famille et 6€ individuellement;fermé;fermé;10h00-12h00;fermé;fermé;10h00-12h00;10h00-12h00;;1;0;0;0;0;0;;0;0;0;;;47.526399, -1.66738;4FSR-YZT5;2018-05-31T13:04:56+02:00;2018-05-31T13:14:41+02:00;2019-11-02T15:33:23+01:00;;Ordinateur(s);Ordinateur(s);;;;;;;;
bibliotheque de Puceul;bibliotheque de Puceul;;Bibliothèque / Médiathèque;;1 rue des Grémets;44390;Puceul;44138;02 40 79 28 12;http://www.cc-nozay-bibliotheques.fr/index/index/id_profil/1;;;;tout public;arrêt: route d'Abbaretz ligne 10;non;tarif -20ans :gratuittarif+20ans:7€ et 10€habitant hors du CCRN;18h00-19h00;fermé;10h00-12h00;fermé;fermé;11h00-12h00;fermé;;1;0;0;0;0;0;;0;0;0;;;47.521916, -1.617678;SQGB-MXEA;2018-05-31T13:15:58+02:00;2018-05-31T13:27:23+02:00;2019-11-02T15:52:40+01:00;;Ordinateur(s);Ordinateur(s);;;;;;;;
Bibliothéque de Soudan;Bibliothéque de Soudan;;Bibliothèque / Médiathèque;;9 rue julien masson 44110 Soudan;44110;Soudan;44199;0240077451;http://www.cc-castelbriantais.fr/reseau-des-bibliotheques;;;;tout public;;;;;;14H30-16h30;16h30-18h;;10H30-12h;;;1;0;0;1;0;1;;0;0;0;;;47.736838, -1.303264;T6G2-SXRF;2018-05-31T15:46:35+02:00;2018-05-31T15:57:05+02:00;2019-11-02T15:27:54+01:00;;Ordinateur(s),Imprimante(s),Connexion Wi-Fi;Ordinateur(s);;;Imprimante(s);;Connexion Wi-Fi;;;
Cybercentre de Nozay;Cybercentre de Nozay;cybercentre@cc-nozay.fr;Institution;;Adresse : 16 Rte de Nort-sur-Erdre 44170 Nozay;44170;Nozay;44113;02 40 79 31 64;https://www.cc-nozay.fr/Infos-du-Cyber.html;;;;tout public;arrêt:Gendarmerie  ligne:10,10E,44;;accès libre gratuit, atelier a:10,90€ région de Nozay et 12,80€ hors.;fermé;15h00-17h30;15h00-17h30;fermé;14h00-16h30;fermé;fermé;les horaire sont modifier pour la période Juillet Aout:Mardi et Mercredi de 14h00-16h30.;1;0;0;0;0;1;;1;1;0;;;47.560787, -1.622967;EV45-4367;2018-01-06T12:10:43+01:00;2018-01-06T12:18:30+01:00;2019-11-02T15:33:11+01:00;Formation,Accompagnement individuel;Ordinateur(s),Connexion Wi-Fi;Ordinateur(s);;;;;Connexion Wi-Fi;Formation;Accompagnement individuel;
Bibliothèque de Tréffieux;Bibliothèque de Tréffieux;;Bibliothèque / Médiathèque;;2 place St-Grégoire;44170;Treffieux;44208;0240874159;http://www.cc-nozay-bibliotheques.fr/index/index/id_profil/1;;;;tout public;arrêt: rue du Don ligne :44;non;tarif -20ans:gratuit tarif +20ans:7.00€tarif+20 hors du CCRN:10.00€;fermé;16h00-18h00;fermé;fermé;fermé;10h30-12h00;10h30-12h00;;1;0;0;0;0;1;;0;0;0;;;47.61963, -1.537733;U88V-YZVK;2018-01-06T12:18:35+01:00;2018-01-06T12:27:14+01:00;2019-11-02T15:33:53+01:00;;Ordinateur(s),Connexion Wi-Fi;Ordinateur(s);;;;;Connexion Wi-Fi;;;
Mairie d'Ancenis;Mairie d'Ancenis;mairie@ancenis.fr;Institution;;place du Maréchal Foch;44150;Ancenis - Saint-Géréon;44003;0240838700;https://www.ancenis.fr;Il s'agit de la Mairie d'Ancenis.;;;tout public;train (gare d'Ancenis);;gratuit;8h30-12h15 13h30-17h45;8h30-12h15 13h-17h45;8h30-12h15 13h-17h45;8h30-12h15 13h-17h45;8h30-12h15 13h-17h45;9h-12h;fermé;;0;1;0;0;0;0;tablette grand format en libre accès;0;1;1;"accompagnement individuel sur la tablette si besoin de l'usager; location d'un vidéoprojecteur (à la demande)";;47.365575, -1.17664;D8AT-4AXC;2018-11-15T12:55:29+01:00;2018-11-15T13:08:28+01:00;2019-11-02T15:15:07+01:00;Accompagnement individuel,Fourniture d'équipement;Tablette(s);;Tablette(s);;;;;;Accompagnement individuel;Fourniture d'équipement
Relais Caf du Pays de Vallet;Relais Caf;;Institution;;20 rue Emile Gabory;44330;Vallet;44212;0228039089;http://www.caf.fr/;;;;Tout public;;;gratuit;Fermé;Fermé;13h30-16h;14h-16h30;Fermé;Fermé;Fermé;;0;0;1;1;1;0;;0;1;0;;;47.162579, -1.26869;TTUK-4WVV;2018-11-21T16:24:36+01:00;2018-11-21T17:33:31+01:00;2019-11-02T16:06:09+01:00;Accompagnement individuel;Scanner(s),Imprimante(s),Borne(s) CAF;;;Scanner(s);Imprimante(s);Borne(s) CAF;;;Accompagnement individuel;
Point relais emploi de Vallet;Point relais emploi de Vallet;;Institution;;1 place Charles de Gaulles;44330;Vallet;44212;0251719212;;Accès libre aux ordinateurs et accompagnement aux démarches sur site de la CAF.;;;tout public;;;gratuit;9h-12h30 13h30-17h;9h-12h30 13h30-17h;9h-12h30 13h30-17h;9h-12h30 13h30-17h;9h-12h30 13h30-17h;fermé;fermé;Lundi toute la journée et mercredi matin permanences libres, sinon sur rendez-vous;1;0;0;0;0;0;;0;1;0;;;47.16078, -1.265859;ATMP-2DJ8;2018-11-22T10:29:17+01:00;2018-11-22T10:49:56+01:00;2019-11-02T16:06:09+01:00;Accompagnement individuel;Ordinateur(s);Ordinateur(s);;;;;;;Accompagnement individuel;
Maison de l'Etat;Sous-préfecture Châteaubriant-Ancenis;sp-chateaubriant-ancenis@loire-atlantique.gouv.fr;Institution;;rue du docteur Bousseau;44150;Ancenis - Saint-Géréon;44003;0240830850;http://www.loire-atlantique.gouv.fr/Services-de-l-Etat/Prefecture-et-sous-prefectures/Sous-prefecture-de-Chateaubriant-Ancenis;Vous trouverez ici un point d'accès numérique réservé à vos démarches de certificats d'immatriculation et de permis de conduire.;Logo_de_la_Republique_francaise.png;batiment-vue-rapprochee_medium.jpg;tout public;Train (Gare d'Ancenis);uniquement pour les démarches liées à la sous-préfecture;gratuit;9h-12h30;9h-12h30;9h-12h30;9h-12h30;9h-12h30;fermé;fermé;sur rendez-vous l'après-midi;1;0;1;1;0;0;;0;1;1;;;47.364014, -1.18475;RV4Z-D8R2;2018-11-12T17:28:51+01:00;2018-11-12T17:50:22+01:00;2019-11-02T15:15:30+01:00;Accompagnement individuel,Fourniture d'équipement;Ordinateur(s),Scanner(s),Imprimante(s);Ordinateur(s);;Scanner(s);Imprimante(s);;;;Accompagnement individuel;Fourniture d'équipement
Médiathèque de Campbon;Médiathèque intercommunale Estuaire et Sillon;mediatheque.campbon@estuaire-sillon.fr;Bibliothèque / Médiathèque;;rue Saint Victor;44750;Campbon;44025;0228018310;http://www.mediatheques.estuaire-sillon.fr/campbon;;;;tout public;;;gratuit;;;9h30-12h30 14h-18h30;;16h-18h30;10h-12h30;;hors vacances scolaires;1;0;0;1;0;1;La structure dispose de 3 ordinateurs;0;1;0;;;47.411517, -1.965394;KW5Y-AW78;2018-12-21T11:07:21+01:00;2018-12-21T11:12:32+01:00;2019-11-02T15:38:26+01:00;Accompagnement individuel;Ordinateur(s),Imprimante(s),Connexion Wi-Fi;Ordinateur(s);;;Imprimante(s);;Connexion Wi-Fi;;Accompagnement individuel;
Bibliothèque de Saint Gildas des Bois;Bibliothèque de Saint Gildas des Bois;bibliosaintgildas@cc-paysdepontchateau.fr;Bibliothèque / Médiathèque;;17 rue des forge;44530;Saint-Gildas-des-Bois;44161;02 40 66 74 64;paysdepontchateau.fr/contacts/bibliotheque-de-st-gildas-des-bois;;;;tout public;;;gratuit;;16h-18h;10h-12h30 15h-18h;;16h-18h;10h-12h30;;;1;1;0;1;0;1;5 Ordinateur 1 Tablette accès Imprimante et Wifi;1;1;0;;;47.512567, -2.039158;M73X-EL5K;2018-12-21T11:25:46+01:00;2018-12-21T11:35:12+01:00;2019-11-02T15:55:40+01:00;Formation,Accompagnement individuel;Ordinateur(s),Tablette(s),Imprimante(s),Connexion Wi-Fi;Ordinateur(s);Tablette(s);;Imprimante(s);;Connexion Wi-Fi;Formation;Accompagnement individuel;
Bouillon de Cultures Malville;Bouillon de Cultures en Estuaire et Sillon, Espace thalweg;;Association;;8 place de l’Église;44260;Malville;44089;0783741699;http://www.bouillondecultures44.fr;;;;tout public;;;60€ par an, 4 séances d'1h et demi;14h30, 16h, 18h;;;10h30;;;;4 séances d'1h et demi;0;0;0;0;0;1;Le public ramène leurs matériels;1;0;0;Ateliers collectifs;;47.360577, -1.863804;VNUG-HCGR;2018-12-21T12:02:33+01:00;2018-12-21T12:19:45+01:00;2019-11-02T15:47:47+01:00;Formation;Connexion Wi-Fi;;;;;;Connexion Wi-Fi;Formation;;
Mission locale de la Presque'île Guérandaise;Mission locale;mission@ml-guerande.fr;Association;;2 rue Louis- Eon;44350;Guérande;44069;0240429676;http://mlpresquileguerandaise.com;;;;16-25 ans;;;gratuit;9h-12h30 13h30-17h;9h-12h30 13h30-17h;9h-12h30 13h30-17h;13h30-17h;9h-12h30 13h30-17h;;;;1;0;0;1;0;1;La structure possède 10 ordinateurs;1;1;0;La structure propose des cours d'informatique en plus d'accompagnement individuel;;47.337267, -2.433909;HUZQ-MRGR;2018-12-21T12:02:37+01:00;2018-12-21T12:26:32+01:00;2019-11-02T15:41:46+01:00;Formation,Accompagnement individuel;Ordinateur(s),Imprimante(s),Connexion Wi-Fi;Ordinateur(s);;;Imprimante(s);;Connexion Wi-Fi;Formation;Accompagnement individuel;
Bibliothèque de Missillac;Bibliothèque-Vidéothèque Intercommunale de Missillac;bibliomissillac@cc-paysdepontchateau.fr;Bibliothèque / Médiathèque;;4 rue de la Fontaine Saint-Jean;44780;Missillac;44098;0240193231;http://www.cc-paysdepontchateau.fr/contacts/bibliotheque-de-missillac-2;;;;tout public;;;gratuit;fermé;16h-18h;10h-12h30 15h-18h;fermé;16h-18h;10h-12h30;10h-12h;;1;1;0;1;0;1;;0;1;0;;;47.478312, -2.154419;Z9CQ-4RTP;2018-12-21T12:39:55+01:00;2018-12-21T12:46:47+01:00;2019-11-02T15:49:37+01:00;Accompagnement individuel;Ordinateur(s),Tablette(s),Imprimante(s),Connexion Wi-Fi;Ordinateur(s);Tablette(s);;Imprimante(s);;Connexion Wi-Fi;;Accompagnement individuel;
CCAS Montoir-de Bretagne;Montoir-de Bretagne;actionsociale@montoirdebretagne.fr;Institution;;65 rue Jean Jaurès;44550;Montoir-de-Bretagne;44103;0240454508;http://www.montoirdebretagne.fr/Vivre-ensemble/L-action-sociale;Centre Communale d'Action Sociale;;;tout public;;;gratuit;8h30-12h 14h-17h30;8h30-12h 14h-17h30;8h30-12h 14h-17h30;8h30-12h;8h30-12h 14h-17h30;fermé;fermé;;1;0;1;1;1;1;Prise électrique pour charger les téléphones;0;1;0;;;47.326827, -2.150323;JDJY-FGDD;2018-12-21T12:57:46+01:00;2018-12-21T13:05:55+01:00;2019-11-02T15:50:17+01:00;Accompagnement individuel;Ordinateur(s),Scanner(s),Imprimante(s),Borne(s) CAF,Connexion Wi-Fi;Ordinateur(s);;Scanner(s);Imprimante(s);Borne(s) CAF;Connexion Wi-Fi;;Accompagnement individuel;
Maison de quartier La Chesnaie;Maison de quartier La Chesnaie Saint-Nazaire;mqchesnaie@wanadoo.fr;Association;;1 bis rue des Ajoncs;44600;Saint-Nazaire;44184;0228559990;http://www.fmq-saintnazaire.fr/bienvenue/index.php/les-maisons-de-quartier/la-chesnaie;;;;tout public;;;gratuit;14h-19h;9h-12h30 14h-19h;9h-12h30 14h-19h;14h-19h;9h-12h30 14h-18h;;;;0;0;0;1;1;0;accès Imprimante;0;1;0;;;47.267608, -2.249793;X9LK-VV74;2018-12-21T12:58:33+01:00;2018-12-21T13:09:50+01:00;2019-11-02T16:01:51+01:00;Accompagnement individuel;Imprimante(s),Borne(s) CAF;;;;Imprimante(s);Borne(s) CAF;;;Accompagnement individuel;
Le Local;Le Local;contact@pzt.fr;Association;;48 rue Edgar Degas;44600;Saint-Nazaire;44184;0769556011;;Le Local est un point de rencontre, le nerf d’un lien social à nourrir, avec différentes acitvités.;;;tout public;;;gratuit;;9h-19h;;9h-19h;9h-19h;;;;1;0;0;1;1;1;2 ordinateurs.;1;1;0;Des ateliers collectifs.;;47.290841, -2.221086;GS8U-VQHZ;2018-12-21T14:55:52+01:00;2018-12-21T15:03:14+01:00;2019-11-02T16:01:51+01:00;Formation,Accompagnement individuel;Ordinateur(s),Imprimante(s),Borne(s) CAF,Connexion Wi-Fi;Ordinateur(s);;;Imprimante(s);Borne(s) CAF;Connexion Wi-Fi;Formation;Accompagnement individuel;
Médiathèque de Savenay;Médiathèque intercommunale Estuaire et Sillon;mediatheque.savenay@estuaire-sillon.fr;Bibliothèque / Médiathèque;;place de l'hôtel de Ville;44260;Savenay;44195;0240569695;http://www.mediatheques.estuaire-sillon.fr/savenay;;;;tout public;;;gratuit;;15h-18h30;9h30-12h30 15h-19h;;15h-18h30;9h30-13h;;Horaire hors vacances scolaires;1;0;1;1;0;1;4 ordinateurs;0;1;0;L'accompagnement individuel se fait par une association externe qui vient une fois tous les deux mois.;;47.359307, -1.943704;DL9J-8JNT;2018-12-21T15:03:33+01:00;2018-12-21T15:07:09+01:00;2019-11-02T16:03:51+01:00;Accompagnement individuel;Ordinateur(s),Scanner(s),Imprimante(s),Connexion Wi-Fi;Ordinateur(s);;Scanner(s);Imprimante(s);;Connexion Wi-Fi;;Accompagnement individuel;
Médiathèque de Sévérac;Médiathèque de Sévérac;biblioseverac@cc-paysdepontchateau.fr;Bibliothèque / Médiathèque;;2 rue de la Gagnerie;44530;Sévérac;44196;0240887323;http://www.cc-paysdepontchateau.fr/contacts/bibliotheque-de-severac-2/;;;;tout public;;;Abonnement 11€ par an;;;14h-18h;;16h-18h;9h-12h;;;1;1;0;1;0;1;3 ordinateurs, et accès imprimante en noir et blanc;0;0;0;;;47.548415, -2.07828;Y8RG-VTUD;2018-12-21T15:07:18+01:00;2018-12-21T15:11:35+01:00;2019-11-02T16:11:14+01:00;;Ordinateur(s),Tablette(s),Imprimante(s),Connexion Wi-Fi;Ordinateur(s);Tablette(s);;Imprimante(s);;Connexion Wi-Fi;;;
bibliothèque de saint-André-des-Eaux;bibliothèque de saint-André-des-Eaux;bibliotheque@ville-st-andre-des-eaux.fr;Bibliothèque / Médiathèque;;15 rue des guifettes;44117;Saint-André-des-Eaux;44151;0251106264;http://bibliotheque.saint-andre-des-eaux.fr;A coté du terrain de football;;;tout public;;;gratuit;fermé;16h-18h;10h -12h30 14h30 -18h;fermé;fermé;9h30 12h30;fermé;;1;0;0;0;0;1;;0;0;0;;;47.32022, -2.306565;WUKG-XFZR;2018-12-21T15:28:07+01:00;2018-12-21T15:40:27+01:00;2019-11-02T15:28:36+01:00;;Ordinateur(s),Connexion Wi-Fi;Ordinateur(s);;;;;Connexion Wi-Fi;;;
Bibliothèque;bibliothèque intercommunale de saint-Anne-sur-Brivet;bibliosainteanne@cc-paysdepontchateau.fr;Bibliothèque / Médiathèque;;La Pirogue: 2 rue du mortier plat;44160;Sainte-Anne-sur-Brivet;44152;0240918488;http://www.sainte-anne-sur-brivet.fr/bibliotheque;;;;tout public;;;gratuit;fermé;fermé;14h30 - 18h;fermé;16h-18h;10h-12h30;fermé;;1;1;0;1;0;1;;0;0;0;;;47.458925, -2.005013;36C6-BUXQ;2018-12-21T15:40:31+01:00;2018-12-21T15:46:27+01:00;2019-11-02T15:31:54+01:00;;Ordinateur(s),Tablette(s),Imprimante(s),Connexion Wi-Fi;Ordinateur(s);Tablette(s);;Imprimante(s);;Connexion Wi-Fi;;;
Médiathèque de Prinquiau;Médiathèque intercommunale Estuaire et Sillon;bibliotheque.prinquiau@estuaire-sillon.fr;Bibliothèque / Médiathèque;;16 rue de l’Église;44260;Prinquiau;44137;0228017672;http://www.mediatheques.estuaire-sillon.fr/prinquiau;;;;tout public;;;gratuit;;15h30-18h30;10h-12h30 15h-18h30;;;10h-12h30;;Horaire hors vacances scolaires;1;0;0;0;0;0;;0;1;0;;;47.362466, -2.009919;GYZL-728C;2018-12-21T15:45:29+01:00;2018-12-21T15:49:07+01:00;2019-11-02T15:52:24+01:00;Accompagnement individuel;Ordinateur(s);Ordinateur(s);;;;;;;Accompagnement individuel;
CPAM Machecoul;CPAM Machecoul;;Institution;;16 rue alexandre riou;44270;Machecoul-Saint-Même;44087;;;;;;tout public;;;;8h30-12h30 / 14h-16h30;fermé;8h30-12h30 / 14h00-16h30;fermé;fermé;fermé;fermé;;0;0;0;0;0;0;Borne CPAM;0;0;0;Accompagnement à la borne si besoin;;46.993278, -1.818278;MZ2R-APBQ;2019-10-01T16:54:56+02:00;2019-10-01T17:00:03+02:00;2019-11-02T15:34:36+01:00;;;;;;;;;;;
C.C.A.S Centre Communal Action Sociale;Mairie de saint-nazaire;contact@mairie-saintnazaire.fr;Institution;;37 rue pierre mendès france;44600;Saint-Nazaire;44184;0240171999;https://www.loire-atlantique.fr/jcms/classement-des-contenus/par-territoire/communaute-d-agglomeration-de-la-region-nazairienne-et-de-l-estuaire/centre-communal-d-action-sociale-ccas-de-saint-nazaire-fr-t1_35938;;index.jpg;;public du CCAS;Hôtel de Ville de Saint-Nazaire, Place François Blancho, 44600 Saint-Nazaire , de l’arrêt de bus 4 minutes a pied (350 m).;public du CCAS;Gratuit;8h30-12h 13h30-17h;8h30-12h 13h30-17h;8h30-12h 13h30-17h;8h30-12h 13h30-17h;8h30-12h 13h30-17h;9h00-12h00;FERMER;;1;0;0;1;0;0;;0;1;0;écrivain publique vient aider pour les démarche administrative .;;47.272576, -2.217692;3HUN-8MWD;2019-10-01T17:30:34+02:00;2019-10-01T18:16:13+02:00;2019-11-02T16:01:51+01:00;Accompagnement individuel;Ordinateur(s),Imprimante(s);Ordinateur(s);;;Imprimante(s);;;;Accompagnement individuel;
Maison des Services au Public du secteur de Riaillé;Ville de Riaillé;acceuil@maison-services-riaille.com;Institution;;182 Rue du cèdre;44440;Riaillé;44144;0240973523;https://www.sivom-secteur-riaille.com/;Vous trouverez ici un accompagnement dans vos démarches administratives en ligne.;;;tout public;;;gratuit;8h30-12h30 14h-17h;8h30-12h30 14h-17h;sur rendez-vous;8h30-12h30 14h-17h;8h30-12h30 14h-14h;fermé;fermé;;1;0;1;1;0;1;Un fax est également à disposition du public.;1;1;0;;;47.517858, -1.293843;55NB-2GAM;2019-01-16T13:53:51+01:00;2019-01-16T14:05:45+01:00;2019-11-02T15:53:21+01:00;Formation,Accompagnement individuel;Ordinateur(s),Scanner(s),Imprimante(s),Connexion Wi-Fi;Ordinateur(s);;Scanner(s);Imprimante(s);;Connexion Wi-Fi;Formation;Accompagnement individuel;
Centre socio-culturel loire divatte;Centre socio-culturel loire divatte;accueil@csc-loiredivatte.asso.fr;Association;;2 route Félix Praud;44450;Saint-Julien-de-Concelles;44169;0240368776;http://assoloiredivatte.centres-sociaux.fr/;;;;tout public;non;;;14h-18h;14h-18h;9h30-12h30 14h-18h;9h30-12h30 14h-18h;9h30-12h30;9h30-12h30;;Fermeture de l’accueil le vendredi après-midi Lundi et mardi : de 14h à 18hMercredi et jeudi : de 9h30 à 12h30 et de 14h à 18hVendredi : de 9h30 à 12h30, fermeture de l’accueil le vendredi après-midi;1;0;0;0;0;1;Conseillé d'amener son propre matériel pour les ateliers;1;1;0;Les ateliers font partie d'un cycle qui peut changer en fonction des besoins;;47.257407, -1.384844;2VRP-DFZV;2019-01-17T11:23:00+01:00;2019-01-17T11:38:55+01:00;2019-11-02T15:57:08+01:00;Formation,Accompagnement individuel;Ordinateur(s),Connexion Wi-Fi;Ordinateur(s);;;;;Connexion Wi-Fi;Formation;Accompagnement individuel;
"Médiathèque Municipale ""Livres y Médias""";"Médiathèque Municipale ""Livres y Médias""";mediatheque@saintpereenretz.fr;Bibliothèque / Médiathèque;;2 rue de la Gare;44710;Port-Saint-Père;44133;0240217827;https//www.saintpereenretz.fr/bouger/culture/mediatheque.html;;;;tout public;;;gratuit;fermé;9h-12h 16h-18h;9h30-12h 14h-18h;fermé;16h-18h;10h-12h30;10h-11h30;;1;0;0;1;0;0;;0;0;0;;;47.134263, -1.747184;W7YN-X86M;2019-01-17T12:41:51+01:00;2019-01-17T12:48:27+01:00;2019-11-02T16:02:33+01:00;;Ordinateur(s),Imprimante(s);Ordinateur(s);;;Imprimante(s);;;;;
